cantidadProducto,fechaPedido,idClienteFK,idProductoFK
4,2026-03-11,28,31
4,2026-01-13,33,12
2,2026-01-31,5,35
1,2026-02-19,30,42
1,2026-03-17,12,21
4,2026-03-16,13,42
3,2026-01-11,31,8
4,2026-01-14,6,32
2,2026-01-14,12,33
1,2026-01-18,18,1
5,2026-02-20,21,10
3,2026-02-08,24,33
4,2026-02-21,42,31
5,2026-01-21,12,2
4,2026-01-20,31,26
2,2026-04-01,5,17
4,2026-03-28,19,11
3,2026-01-20,20,39
5,2026-01-19,39,13
4,2026-01-16,43,12
4,2026-01-29,21,1
1,2026-02-25,13,10
2,2026-01-08,21,37
3,2026-01-08,14,29
4,2026-03-13,2,27
1,2026-03-15,8,50
3,2026-02-14,49,2
5,2026-03-07,46,14
2,2026-02-22,50,1
3,2026-02-07,25,12
5,2026-03-10,46,49
2,2026-01-02,28,49
5,2026-02-28,1,12
5,2026-01-24,23,31
3,2026-03-27,33,27
3,2026-02-21,25,50
2,2026-02-10,9,39
3,2026-02-25,29,14
4,2026-01-26,5,49
2,2026-02-09,22,22
4,2026-02-10,18,45
4,2026-02-06,18,31
2,2026-02-17,5,21
3,2026-01-21,2,19
3,2026-02-28,36,37
3,2026-01-25,45,11
3,2026-03-26,19,10
3,2026-03-25,47,42
3,2026-02-24,11,20
5,2026-01-28,17,2
